chembl_id,pref_name,max_phase,smiles,inchi_key_x,ID,SMILES,drug_status,chembl_smiles,inchi_key_y
CHEMBL1000,CETIRIZINE,4,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,ZKLPARSLTMPFCP-UHFFFAOYSA-N,DB00341,[O-]C(=O)COCC[NH+]1CC[NH+](CC1)C(c1ccc(cc1)Cl)c1ccccc1,APPROVED - Phase 4,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,ZKLPARSLTMPFCP-UHFFFAOYSA-N
CHEMBL100014,AN-9,2,CCCC(=O)OCOC(=O)C(C)(C)C,GYKLFBYWXZYSOW-UHFFFAOYSA-N,DB05103,CCCC(=O)OCOC(=O)C(C)(C)C,Phase 2,CCCC(=O)OCOC(=O)C(C)(C)C,GYKLFBYWXZYSOW-UHFFFAOYSA-N
CHEMBL100116,PENTAZOCINE,4,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,VOKSWYLNZZRQPF-UHFFFAOYSA-N,DB00652,CC(=CC[NH+]1CC[C@@]2([C@H]([C@H]1Cc1c2cc(cc1)O)C)C)C,APPROVED - Phase 4,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,VOKSWYLNZZRQPF-UHFFFAOYSA-N
CHEMBL1002,LEVOSALBUTAMOL,4,CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,NDAUXUAQIAJITI-LBPRGKRZSA-N,DB13139,OCc1cc(ccc1O)[C@H](C[NH2+]C(C)(C)C)O,APPROVED - Phase 4,CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,NDAUXUAQIAJITI-LBPRGKRZSA-N
CHEMBL100259,URIDINE,3,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,DRTQHJPVMGBUCF-XVFCMESISA-N,DB02745,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ccc(=O)[nH]c1=O,Phase 3,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,DRTQHJPVMGBUCF-XVFCMESISA-N
CHEMBL1004,DOXYLAMINE,4,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,HCFDWZZGGLSKEP-UHFFFAOYSA-N,DB00366,C[NH+](CCOC(c1ccccn1)(c1ccccc1)C)C,APPROVED - Phase 4,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,HCFDWZZGGLSKEP-UHFFFAOYSA-N
CHEMBL1005,REMIFENTANIL,4,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1,ZTVQQQVZCWLTDF-UHFFFAOYSA-N,DB00899,COC(=O)C1(CC[NH+](CC1)CCC(=O)OC)N(c1ccccc1)C(=O)CC,APPROVED - Phase 4,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1,ZTVQQQVZCWLTDF-UHFFFAOYSA-N
CHEMBL1006,AMIFOSTINE,4,NCCCNCCSP(=O)(O)O,JKOQGQFVAUAYPM-UHFFFAOYSA-N,DB01143,[NH3+]CCC[NH2+]CCSP(=O)([O-])[O-],APPROVED - Phase 4,NCCCNCCSP(=O)(O)O,JKOQGQFVAUAYPM-UHFFFAOYSA-N
CHEMBL100622,HEXAMETHONIUM,2,C[N+](C)(C)CCCCCC[N+](C)(C)C,VZJFGSRCJCXDSG-UHFFFAOYSA-N,DB08960,C[N+](CCCCCC[N+](C)(C)C)(C)C,Phase 2,C[N+](C)(C)CCCCCC[N+](C)(C)C,VZJFGSRCJCXDSG-UHFFFAOYSA-N
CHEMBL1008,BEPRIDIL,4,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,UIEATEWHFDRYRU-UHFFFAOYSA-N,DB01244,CC(COCC([NH+]1CCCC1)CN(c1ccccc1)Cc1ccccc1)C,APPROVED - Phase 4,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,UIEATEWHFDRYRU-UHFFFAOYSA-N
