ligand_id,smiles,no_2og_binary,no_2og_pred_value,no_2og_ligand_iptm
P4H6__Molport-000-462-706,Cc1cc2OC(N)=C(C#N)C(c3ccc4OCOc4c3)c2c(=O)n1CC1CCCO1,0.960954487,-1.434071064,0.960926414
P4H6__Molport-008-340-817,Cn1ccnc1C(=O)c1cccc(NC(=O)C(=O)NCC2COc3ccccc3O2)c1,0.956344604,-1.549201965,0.928756177
P4H6__Molport-023-255-952,O=C([C@@H]1CCCN1)N1CCC2(CN(CCc3ccccc3)C(=O)O2)CC1,0.944571197,-0.407930613,0.977126658
P4H6__Molport-000-855-184,Cc1nn2c(O)c(CCO)c(nc2c1-c1ccccc1)C(O)=O,0.942860007,-0.327752113,0.981791437
P4H6__Molport-008-362-610,O=c1n(CC2COc3ccccc3O2)cnc2ncccc12,0.934344053,-1.372270584,0.967920125
P4H6__Molport-045-919-233,Clc1ccc2cc1OCCCn1cc(CO[C@H]3CN(C[C@@H]3NC2=O)C(=O)c2ccc[nH]2)nn1,0.933128953,-1.398324966,0.963584661
P4H6__Molport-020-288-986,CNc1nc(nc2CCN(Cc12)C(=O)CN(C)Cc1ccc(OC)cc1)C1CCCN1,0.924786925,-1.142827034,0.972458303
P4H6__Molport-002-024-083,Sc1nnc(-c2cccnc2)n1-c1ccc2OCCOc2c1,0.912524223,-1.014683723,0.976647496
P4H6__Molport-051-702-810,Cc1ocnc1C(=O)N1CCC[C@@]2(CO)CCN(C[C@H]12)C(=O)COc1ccccc1,0.91108197,-0.97707057,0.962754607
P4H6__Molport-002-527-181,Cc1c(CCC(=O)NCC(=O)NCC(O)=O)c(=O)oc2cc3occ(c3cc12)C(C)(C)C,0.906420469,-1.432286263,0.963483632
P4H6__Molport-046-607-570,O=C(NCC1CCOC2(CCN(CC2)C(=O)C2CCOCC2)C1)c1ccccn1,0.906197786,-0.684425831,0.973314703
P4H6__Molport-051-702-679,O=C(NC[C@H]1[C@H]2C[C@H](CN(C2)C(=O)C2CCC2)c2cccc(=O)n12)c1ccc[nH]1,0.902757347,-1.111579895,0.967459559
P4H6__Molport-002-516-971,OC(=O)CCC(=O)SC(=S)N1C[C@@H]2C[C@@H](C1)c1cccc(=O)n1C2,0.902385116,-0.544479847,0.978341758
P4H6__Molport-023-333-856,OC(=O)c1ccnc(c1)-c1cc(cc(n1)-c1cc(ccn1)C(O)=O)C(O)=O,0.899095178,-1.937850952,0.962875009
P4H6__Molport-002-520-344,Cc1oc2cc3oc(=O)c(CCC(=O)NCC(=O)NCC(O)=O)c(C)c3cc2c1C,0.897260904,-1.248805523,0.948405325
P4H6__Molport-000-162-524,OC(=O)c1ccc(cc1)C(=O)c1cc(ccc1C(O)=O)C(O)=O,0.890738249,-0.413429976,0.975590408
P4H6__Molport-047-921-794,Cn1ccnc1C(=O)N1CCC2(CCc3c2nc([nH]c3=O)C(C)(C)C)CC1,0.890329242,-0.157226324,0.964016855
P4H6__Molport-047-517-878,COc1cc2CCOC3(CCN(CC3)C(=O)[C@@H]3CCCN3)c2cc1OC,0.889061809,0.036041975,0.971226811
