Ligand_Name,Vina_Affinity(kcal/mol),Intramol,CNN_Pose_Score,CNN_Affinity
P4H6__Molport-000-374-455_model_0_ligand,-4.96,-0.26,0.5834,3.633
P4H6__Molport-000-391-906_model_0_ligand,-4.84,-0.27,0.6660,4.506
P4H6__Molport-000-224-334_model_0_ligand,-5.76,0.35,0.4391,3.593
P4H6__Molport-000-155-232_model_0_ligand,-4.37,-0.33,0.6912,3.884
P4H6__Molport-000-142-033_model_0_ligand,-4.61,-0.31,0.4994,3.750
P4H6__Molport-000-142-029_model_0_ligand,-4.91,-0.31,0.5979,3.953
P4H6__Molport-000-265-201_model_0_ligand,-5.37,-0.16,0.5207,4.657
P4H6__Molport-000-162-524_model_0_ligand,-5.25,-0.93,0.4413,4.216
P4H6__Molport-000-190-206_model_0_ligand,-5.58,-0.28,0.5128,5.765
P4H6__Molport-000-322-233_model_0_ligand,-4.85,-0.52,0.4631,3.839
P4H6__Molport-000-073-281_model_0_ligand,-5.42,-1.67,0.3632,4.836
P4H6__Molport-000-091-593_model_0_ligand,-4.82,-0.85,0.3063,4.320
P4H6__Molport-000-424-532_model_0_ligand,-5.04,-0.44,0.4439,3.283
P4H6__Molport-000-073-547_model_0_ligand,-5.44,-0.19,0.2441,4.783
P4H6__Molport-000-422-597_model_0_ligand,-5.36,0.83,0.4371,4.372
P4H6__Molport-000-093-145_model_0_ligand,-5.82,-0.41,0.3588,4.974
P4H6__Molport-000-093-147_model_0_ligand,-5.77,-1.10,0.2412,4.915
P4H6__Molport-000-073-510_model_0_ligand,-5.71,-1.38,0.2530,5.145
P4H6__Molport-000-450-916_model_0_ligand,-5.35,-1.49,0.3303,3.602
P4H6__Molport-000-073-512_model_0_ligand,-5.75,1.21,0.2316,4.532
P4H6__Molport-000-073-503_model_0_ligand,-5.45,-1.62,0.2578,5.120
P4H6__Molport-000-424-533_model_0_ligand,-5.69,-0.80,0.6184,3.731
P4H6__Molport-000-073-504_model_0_ligand,-5.74,-1.79,0.4295,5.399
P4H6__Molport-000-476-977_model_0_ligand,-4.41,-0.26,0.6256,3.875
P4H6__Molport-000-436-465_model_0_ligand,-4.90,0.80,0.3310,4.772
P4H6__Molport-000-459-270_model_0_ligand,-5.58,-0.26,0.4284,4.788
P4H6__Molport-000-073-571_model_0_ligand,-5.96,-0.99,0.2568,4.538
P4H6__Molport-000-501-357_model_0_ligand,-4.82,0.60,0.2620,4.140
P4H6__Molport-000-500-759_model_0_ligand,-5.05,0.40,0.4755,4.138
P4H6__Molport-000-436-571_model_0_ligand,-5.26,0.31,0.3638,4.613
P4H6__Molport-000-432-397_model_0_ligand,-5.50,-0.60,0.2340,3.943
P4H6__Molport-000-557-977_model_0_ligand,-5.38,-0.31,0.5704,3.917
P4H6__Molport-000-462-706_model_0_ligand,-5.56,-0.51,0.4037,4.938
P4H6__Molport-000-501-411_model_0_ligand,-5.11,-0.21,0.3377,3.421
P4H6__Molport-000-563-396_model_0_ligand,-4.93,-0.42,0.2233,3.645
P4H6__Molport-000-559-664_model_0_ligand,-6.30,-0.64,0.3219,5.158
P4H6__Molport-000-640-494_model_0_ligand,-5.29,-0.32,0.6334,3.774
P4H6__Molport-000-678-761_model_0_ligand,-4.69,-0.88,0.5123,3.832
P4H6__Molport-000-640-493_model_0_ligand,-5.09,-0.72,0.4523,3.272
P4H6__Molport-000-638-712_model_0_ligand,-4.79,0.05,0.3418,4.185
P4H6__Molport-000-712-132_model_0_ligand,-5.22,-0.54,0.5091,4.077
P4H6__Molport-000-808-186_model_0_ligand,-4.90,-0.41,0.5814,4.098
P4H6__Molport-000-665-755_model_0_ligand,-5.83,0.02,0.7257,4.783
P4H6__Molport-000-773-722_model_0_ligand,-5.13,-0.61,0.7255,3.414
P4H6__Molport-000-801-599_model_0_ligand,-4.93,0.37,0.4152,3.851
P4H6__Molport-000-656-596_model_0_ligand,-5.43,-0.03,0.7123,4.409
