Ligand_Name,Vina_Affinity(kcal/mol),Intramol,CNN_Pose_Score,CNN_Affinity
P4H6__Molport-000-142-029_model_0_ligand,-7.78,-0.30,0.3583,3.261
P4H6__Molport-000-142-033_model_0_ligand,-7.37,0.15,0.3427,3.341
P4H6__Molport-000-374-455_model_0_ligand,-5.59,0.53,0.2372,4.891
P4H6__Molport-000-155-232_model_0_ligand,-7.37,0.68,0.4491,3.695
P4H6__Molport-000-391-906_model_0_ligand,-5.14,0.25,0.3511,5.152
P4H6__Molport-000-322-233_model_0_ligand,-5.51,0.83,0.4187,5.608
P4H6__Molport-000-224-334_model_0_ligand,-9.00,0.83,0.4258,4.102
P4H6__Molport-000-265-201_model_0_ligand,-6.48,0.43,0.1772,4.077
P4H6__Molport-000-162-524_model_0_ligand,-6.12,1.64,0.3046,4.152
P4H6__Molport-000-190-206_model_0_ligand,5.13,0.84,0.3916,5.605
P4H6__Molport-000-091-593_model_0_ligand,-3.21,4.07,0.2426,4.702
P4H6__Molport-000-424-532_model_0_ligand,-5.53,0.79,0.2623,3.566
P4H6__Molport-000-424-533_model_0_ligand,-6.15,0.79,0.2452,3.663
P4H6__Molport-000-073-571_model_0_ligand,-4.97,-0.00,0.1899,4.950
P4H6__Molport-000-073-281_model_0_ligand,-7.06,0.72,0.1684,5.497
P4H6__Molport-000-093-147_model_0_ligand,8.34,3.35,0.2020,4.691
P4H6__Molport-000-073-504_model_0_ligand,-6.42,1.89,0.1542,5.920
P4H6__Molport-000-073-512_model_0_ligand,-7.96,0.77,0.1885,5.522
P4H6__Molport-000-073-547_model_0_ligand,-7.97,0.19,0.1485,4.858
P4H6__Molport-000-073-503_model_0_ligand,-8.60,-0.35,0.1636,4.956
P4H6__Molport-000-476-977_model_0_ligand,-7.53,-0.37,0.2293,3.343
P4H6__Molport-000-436-465_model_0_ligand,-4.46,2.51,0.3087,4.336
P4H6__Molport-000-422-597_model_0_ligand,-8.03,6.82,0.2566,4.021
P4H6__Molport-000-093-145_model_0_ligand,9.36,1.57,0.3499,5.291
P4H6__Molport-000-450-916_model_0_ligand,-8.22,0.07,0.1995,3.553
P4H6__Molport-000-073-510_model_0_ligand,-7.48,2.89,0.1772,5.405
P4H6__Molport-000-459-270_model_0_ligand,-6.07,0.29,0.2088,5.036
P4H6__Molport-000-436-571_model_0_ligand,-3.01,0.80,0.7235,5.364
P4H6__Molport-000-432-397_model_0_ligand,1.98,-0.77,0.1688,4.634
P4H6__Molport-000-500-759_model_0_ligand,-3.52,0.22,0.6399,5.162
P4H6__Molport-000-462-706_model_0_ligand,8.13,1.23,0.3344,5.536
P4H6__Molport-000-640-493_model_0_ligand,-6.08,0.58,0.3210,3.857
P4H6__Molport-000-501-357_model_0_ligand,-3.43,0.18,0.6310,5.245
P4H6__Molport-000-557-977_model_0_ligand,-5.17,-0.39,0.4149,3.960
P4H6__Molport-000-501-411_model_0_ligand,-2.41,0.14,0.7959,5.300
P4H6__Molport-000-563-396_model_0_ligand,-5.26,0.87,0.3307,3.848
P4H6__Molport-000-638-712_model_0_ligand,-4.77,-0.14,0.3464,4.361
P4H6__Molport-000-712-132_model_0_ligand,-6.24,-0.13,0.3241,3.167
P4H6__Molport-000-640-494_model_0_ligand,-5.93,-0.41,0.3077,4.115
P4H6__Molport-000-678-761_model_0_ligand,-7.11,-0.40,0.3358,3.595
